ID,  Title,  Webindex,  Company,  Description,  Label
00232,  fp blue chip,  68802053,  Hays Senior Finance,  market leading retail business rapid growth due expansion add financial planning analyst central team based central london fantastic opportunity join newly created team driving forward financial planning analysis group reporting directly head fp assist revenue analysis product channel region provide commercial input review business case presenting proposal approval work business develop endtoend planning cycle process lead regional planning process ensure completeness key business channel product provide finance support year strategic plan addition work globally business region develop capital investment plan join forward thinking business confident qualified analyst aca cima excellent interpersonal skill role interest feel relevant skill call role candidate straight big audit firm apply interested hay specialist recruitment limited act employment agency permanent recruitment employment business supply temporary worker applying job accept privacy policy disclaimer found hay uk,  Accounting_Finance
00233,  part time management accountant,  70757636,  FS2 UK Ltd,  responsible efficient running accounting function business implementing procedure control ensure accuracy management information presented director establish maintain financial policy management information system liaise management colleague aspect finance provide high quality support service director officer company duty include leading team staff responsible production management account creating implementing monitoring process procedure creation monthly forecast preparing detailed weekly monthly quarterly cash flow forecast preparing detailed annual quarterly monthly profit forecast preparing detailed monthly financial statement include profit loss account balance sheet variance analysis working day month end managing income expenditure sale payroll stock offering professional judgement financial matter advising way improving business performance carrying research analysing information liaising manager put finance view context safeguarding asset duty financial matter occur time time preparation yearend file independent accountant produce financial statement hm revenue company house purpose cima acca qualified ideally background retail industry,  Accounting_Finance
00234,  ifa employed,  71356489,  Clark James Ltd,  role purpose role provide advice telephone lead supplied company telesales department addition provide face face review service existing client bank person specification previous financial advising experience include pension proven sale experience fully diploma qualified capacity chartered status computer literate good round technical knowledge good working knowledge compliance requirement key responsibility provide holistic financial planning advice service existing client responsible conducting initial meeting prospective client face face telephone gather information client financial circumstance goal objective enable advice maintain client relationship customer focused proactive enthusiastic approach weekly reporting line manager weekly reporting project outcome volume quarterly reporting exec committee adhere working practice compliant environment company provide efficient back office support full paraplanning support package basic salary bonus paid business written ote annum week paid holiday annum group personal pension plan,  Accounting_Finance
00235,  finance manager,  69073629,  Accountancy Action Ltd,  excellent opportunity join client expanding business based recruit aca qualified accountant head small finance team reporting finance director assume day day responsibility managing developing team ensuring timely completion statutory management reporting monthly management accounting budgeting forecasting annual statutory account managing small finance function aca qualified previous management experience strong technical interpersonal skill role suit make move practice,  Accounting_Finance
00236,  management accountant,  70656648,  Alexander Lloyd,  client offer interesting opportunity part qualified finalist qualified acca cima management accountant charity based surrey role preparing accurate timely monthly management account preparing posting monthly accrual prepayment income journal assisting preparation annual budget process yearend audit managing fixed asset register posting ad hoc project analysis person essentially pq finalist qualified aca acca cima experience similar role strong skill including excel benefit client offering varied interesting role basic salary benefit management accountant vacancy handling lloyd finance accountancy leading recruiter partqualified accountant financial management accountant financial controller finance director surrey sussex london kent due high amount interest receive role respond application individually hear back consultant shortlisted role continue check website www uk role interest,  Accounting_Finance
00237,  customer service administrator,  68531828,  Unknown,  customer service administrator client successful financial service company located outskirt edinburgh recruiting number administrator mortgage processing team working initially month contract monday friday pm pm saturday pm processing incoming documentation accuracy attention detail order satisfy lending risk requirement manage relationship management incoming outbound call excellent eye detail propose workable solution query presenting issue strive meet productivity target whilst delivering exceptional customer service happy ownership accountability customer whilst thing time fully pc literate excellent working knowledge excel word role working financial service company successfully pas credit check feel role apply forward hearing,  Accounting_Finance
00238,  accounts assistant,  72451165,  Cherry Professional Limited,  based client account assistant join team responsibility include invoice credit processing purchase ledger review purchase ledger payment posting ledger statement reconciliation resolving query sale ledger general account duty petty cash reconciliation bank reconciliation payroll key skill proven account experience team player strong excel skill excellent communication skill small company experience desirable essential good opportunity grow organisation happy studying aat solid experience job role listed vacancy advertised professional acting employment agency behalf client job originally posted www totaljobs jobseeking job,  Accounting_Finance
00239,  pensions administrator,  71852020,  Hillman Saunders,  proven pension administrator work leading party administrator uk excellent opportunity primary responsibility provide full pension's administration service client customer accurate efficient timely manner include processing settling transfer pension scheme dealing type retirement query including quotation manual calculation considered role good working knowledge pension's administration duty preferably working party pension administrator high level numeracy literacy tested interview stage return receive competitive salary day holiday pension benefit package excellent opportunity missed apply fusion people committed promoting equal opportunity people age gender religion belief race sexuality disability operate employment agency employment business job originally posted www totaljobs jobseeking job,  Accounting_Finance
00240,  senior technical account analyst,  71142126,  Unknown,  working functional area business underwriting core pricing trading team responsible technical analysis performance monitoring management designated broker portfolio motor home account ensure projected mix business ultimate profitability realised resulting achievement corporate plan objective target retail strategy ensuring workload varied suitably challenging responsibility leadership management direct report turn responsible portfolio account operate similar trading model allowing provision quality responsive service internal external customer provide timely accurate analysis interacting providing ongoing technical support develop maintain indepth knowledge trading dynamic characteristic account allocated conduct regular proactive monitoring analysis kpi's business profile act emerging trend identified making recommendation change opportunity portfolio significantly contribute commercial evaluation opportunity proposition applying innovative creative approach represent technical internally externally providing technical support proven portfolio management experience personal line environment proven analytical data interpretation skill excellent m excel access skill experience desirable data comfortable working large volume data source ability analyse conflicting data recognise key factor ability identify emerging trend act ability gain maintain firm grasp business context function operating experience model experience evaluation creation business case experience intermediated uk personal line market varied business model operated negotiation experience ability influence discussion level internally externally put case set action result proven people management experience technically competent acii qualified progress preferred excellent knowledge home motor uk intermediated market confident positive attitude solution logical thinker proven high degree numerical ability ability apply analytical thinking excellent judgement trading mentality strategic thinker excellent communication skill understands business implication analysis rec client client insurance business world offer excellent salary package working interesting challenging role,  Accounting_Finance
00241,  financial administrator support fleet dept,  68700672,  Anonymous,  job purpose assist aspect fleet financial coordination administration responsibility accurate processing supplier invoice production report relating aspect fleet management maintenance fleet insurance database vehicle file manage coordinate vehicle mot booking road fund license renewal fuel card management act finance account interface fleet supplier party manage back fleet call admin finance duty time permit required skill knowledge experience class communication skill written verbal excellent telephone manner excellent computer skill microsoft word excel outlook analytical flexible approach task required proactive attitude ability work deadline presented reliable punctual job originally posted www totaljobs jobseeking job,  Accounting_Finance
